p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Cell_type,GENE
0.122614806393302,0.151343404565844,0.176,0.156,1,Neurons,Sptan1
0.12371023179887,-0.146555834473425,0.109,0.126,1,Neurons,Rab5a
0.123835016602454,-0.100022808163564,0.167,0.189,1,Neurons,Arhgdia
0.124791713968152,-0.150513638769764,0.131,0.149,1,Neurons,Gtf2b
0.125438533599256,0.113296540759932,0.147,0.128,1,Neurons,Cep290
0.125603789073173,0.109471554830519,0.157,0.137,1,Neurons,4932438A13Rik
0.125783989341445,0.268458342377991,0.1,0.085,1,Neurons,Lmo4
0.126125713581638,-0.118377588926675,0.159,0.18,1,Neurons,Eef1e1
0.126998150217354,0.120500518096637,0.277,0.25,1,Neurons,Pde4d
0.127499622445769,-0.124313463427747,0.141,0.159,1,Neurons,Smc5
0.127887039899938,0.165559646815705,0.446,0.414,1,Neurons,Nrxn3
0.128061622824919,-0.12813080304919,0.239,0.26,1,Neurons,Trim37
0.128092452800675,-0.106904478671715,0.091,0.107,1,Neurons,Camk1d
0.128712652998456,-0.109441474735743,0.093,0.109,1,Neurons,Rnf167
0.128765933116529,0.109922215968597,0.361,0.334,1,Neurons,U2surp
0.128785077867645,-0.184037302105162,0.242,0.26,1,Neurons,Acsl3
0.129158662430571,-0.125806107247993,0.114,0.132,1,Neurons,Btbd10
0.129270554229598,-0.124265459128287,0.255,0.274,1,Neurons,Psmb5
0.129484630212913,-0.138888940142686,0.135,0.155,1,Neurons,Ubr3
0.129837194810925,-0.135791753667645,0.145,0.163,1,Neurons,BC005537
0.130351750900246,-0.164636871629941,0.144,0.162,1,Neurons,Pgam1
0.130398160140904,0.145109107851638,0.137,0.12,1,Neurons,Kcnip1
0.130472726618288,-0.102836100730065,0.179,0.2,1,Neurons,Enpp5
0.130516859866559,-0.100200036108667,0.108,0.126,1,Neurons,Cys1
0.130757703744322,0.112070161567824,0.103,0.087,1,Neurons,G3bp1
0.131219975808375,-0.167831021307299,0.102,0.118,1,Neurons,Snx16
0.131678333219704,-0.158164863405232,0.183,0.203,1,Neurons,Cnih1
0.131709112396434,-0.158247730329311,0.303,0.318,1,Neurons,Ghitm
0.131750993287891,-0.14748507847734,0.306,0.324,1,Neurons,Scn2a1
0.132244858456092,-0.131482392424533,0.157,0.177,1,Neurons,Tuba4a
0.132311204368184,-0.115070123274583,0.178,0.2,1,Neurons,Zfand6
0.132862320119337,-0.175721664078783,0.15,0.166,1,Neurons,Igsf8
0.133906774777794,-0.179052334758481,0.169,0.146,1,Neurons,Btg2
0.134814791999381,-0.217774018364513,0.205,0.22,1,Neurons,Phyh
0.135194369361252,-0.104433122160411,0.173,0.194,1,Neurons,Clstn1
0.135630051082027,-0.176087357831479,0.143,0.16,1,Neurons,Zbtb7a
0.135642977650472,0.228907711835151,0.173,0.153,1,Neurons,Cntn5
0.135780528417399,-0.198625817314373,0.348,0.359,1,Neurons,Sumo1
0.135906256826826,-0.113901796534674,0.27,0.288,1,Neurons,Fyttd1
0.136141705876714,-0.159284408500127,0.134,0.151,1,Neurons,Prune2
0.136377404462904,-0.100707819725804,0.745,0.728,1,Neurons,Gap43
0.137320641416377,-0.162935841709039,0.359,0.371,1,Neurons,2700089E24Rik
0.137638323272369,0.135636968079788,0.114,0.098,1,Neurons,Ambra1
0.138162285006337,0.114682040555994,0.185,0.163,1,Neurons,Ndufv1
0.139192741683448,-0.167151522009538,0.292,0.307,1,Neurons,Hspa4
0.139495694703161,0.378859302657165,0.166,0.149,1,Neurons,Lrrtm4
0.139690071206271,0.111836687523038,0.148,0.13,1,Neurons,Adar
0.140286092284952,0.183298200198203,0.171,0.152,1,Neurons,Cpne4
0.140562195903136,-0.12308272436829,0.474,0.493,1,Neurons,Sqstm1
0.140698653808908,0.116657517691982,0.192,0.172,1,Neurons,Supt5
0.141688772507676,-0.112161831146959,0.112,0.129,1,Neurons,Tpgs2
0.141846711535987,-0.135516191963645,0.384,0.405,1,Neurons,Nsf
0.142080534525837,0.122025966648626,0.166,0.147,1,Neurons,Mrps24
0.142378899138578,0.11710486747494,0.135,0.118,1,Neurons,Xiap
0.142447520615862,-0.106294521129728,0.09,0.106,1,Neurons,Pls3
0.143670250768361,0.121619773864093,0.115,0.098,1,Neurons,Zeb1
0.143748235880771,-0.102853754175783,0.089,0.105,1,Neurons,Zer1
0.146622652431408,-0.141214788355655,0.29,0.309,1,Neurons,Os9
0.148334905694143,-0.171342421665682,0.139,0.155,1,Neurons,Etf1
0.14948414147625,-0.137111901715528,0.169,0.186,1,Neurons,Cops2
0.150475946969157,-0.101943834191478,0.652,0.658,1,Neurons,Ubc
0.152526350627718,-0.103462552402389,0.291,0.313,1,Neurons,Gstm5
0.154535556329576,-0.135771801090841,0.171,0.189,1,Neurons,Jak1
0.156008187284474,-0.113517638556579,0.217,0.237,1,Neurons,Glg1
0.157266676101752,-0.170703368307359,0.142,0.158,1,Neurons,Spidr
0.157453100018619,-0.146064664618047,0.178,0.195,1,Neurons,Spryd7
0.157804055878233,-0.144247306669496,0.209,0.226,1,Neurons,Ttc1
0.157961569715445,0.17740001441004,0.136,0.119,1,Neurons,Arid5b
0.158206932635067,-0.128780500482081,0.186,0.204,1,Neurons,Rfk
0.158263499454388,0.118759175024364,0.124,0.107,1,Neurons,Mafg
0.160115384675532,-0.161613510834132,0.248,0.26,1,Neurons,Tm9sf3
0.160249952579351,-0.113642152557245,0.176,0.196,1,Neurons,Cops4
0.160378029649449,-0.10200336602204,0.126,0.142,1,Neurons,Riok3
0.160935004388068,-0.103124366928399,0.088,0.102,1,Neurons,Prkca
0.161298053235471,-0.104353271026975,0.164,0.183,1,Neurons,Ddx3y
